length,width_median,width_var,volume,surface_area,surface_to_volume,periplasm_volume,periplasm_fractional_volume,cell_id,date,carbon_source,run_no,temperature_C,overexpression,inducer,inducer_conc,image,strain
1.6602928748489607,0.7540789358014164,0.0019014000009519613,0.6292365083014045,3.933248505708943,6.250826920908593,0.09365605452506509,0.14884078290035233,0,2020-10-06,acetate,1,37.0,none,noInd,0,201006150456.tif,wildtype
2.102846305029159,0.6894498784136495,0.0013174880357073703,0.6992620177744941,4.554703426609357,6.513586196352236,0.10845037477683939,0.15509261481411346,1,2020-10-06,acetate,1,37.0,none,noInd,0,201006150456.tif,wildtype
2.817852483649585,0.6843932843255174,0.0011208116324567224,0.9526961358928,6.058622115545093,6.359448608309277,0.14465435925074188,0.151836827925393,3,2020-10-06,acetate,1,37.0,none,noInd,0,201006150456.tif,wildtype
2.5704117370418946,0.6785861451677705,0.001501923346948031,0.8478080768164142,5.4797097666207355,6.463384716972119,0.13067880158854417,0.15413724540022467,4,2020-10-06,acetate,1,37.0,none,noInd,0,201006150456.tif,wildtype
2.0846677957694304,0.6664814068231105,0.0007953838471795281,0.6497764208909237,4.3649047220638755,6.717548654780443,0.10378619907117537,0.1597260161100824,5,2020-10-06,acetate,1,37.0,none,noInd,0,201006150456.tif,wildtype
1.6997261677185802,0.6996433170033891,8.498907295236735e-05,0.5638048432413301,3.735988436417732,6.626385851777059,0.08875400979086173,0.15741973637653128,6,2020-10-06,acetate,1,37.0,none,noInd,0,201006150456.tif,wildtype
1.8879703784859145,0.6181141085488427,0.0010560490390870022,0.5047028024792755,3.666179336920226,7.2640360206257615,0.08679924788636567,0.1719809112609988,7,2020-10-06,acetate,1,37.0,none,noInd,0,201006150456.tif,wildtype
2.3111607572835027,0.8295605362533971,0.0004534241471313107,1.0996987982399886,6.023211469067912,5.477146541132674,0.1444789447344299,0.13138046978469106,8,2020-10-06,acetate,1,37.0,none,noInd,0,201006150456.tif,wildtype
1.5033241745299875,0.7523330678217062,0.00201617794070796,0.5568061662911926,3.553142824793211,6.381292162154371,0.08446504782828701,0.1516956042187837,9,2020-10-06,acetate,1,37.0,none,noInd,0,201006150456.tif,wildtype
2.432888338799922,0.66547751581038,0.0005519727315997138,0.769055484789874,5.086340570062571,6.613749814751393,0.1211403369691535,0.1575183317264192,10,2020-10-06,acetate,1,37.0,none,noInd,0,201006150456.tif,wildtype
1.8096433789919852,0.813473095124453,0.0025465326520111987,0.7995943690290703,4.624726609119838,5.7838408926460305,0.11053313792207409,0.13823651366666329,11,2020-10-06,acetate,1,37.0,none,noInd,0,201006150456.tif,wildtype
1.7906650169046399,0.6513342559959959,0.0004448437109504571,0.5242992802403555,3.6641069509547446,6.988579021651528,0.08687326926093314,0.16569404638722307,12,2020-10-06,acetate,1,37.0,none,noInd,0,201006150456.tif,wildtype
2.2285174536224344,0.7480790709166616,0.001538608944305601,0.869891935821007,5.237371940326274,6.020715590820169,0.12515521474623603,0.14387443956255797,13,2020-10-06,acetate,1,37.0,none,noInd,0,201006150456.tif,wildtype
1.9487360686572237,0.7050132626398424,0.00015506491249462883,0.6690017784902041,4.316186312211159,6.451681372136082,0.10275948302493398,0.1536012105331625,14,2020-10-06,acetate,1,37.0,none,noInd,0,201006150456.tif,wildtype
2.4425582826749617,0.686274133836567,7.392336956530389e-05,0.8188862366948962,5.266140457919125,6.430857208168225,0.12557551321116156,0.15334915594380538,15,2020-10-06,acetate,1,37.0,none,noInd,0,201006150456.tif,wildtype
1.6939366542700909,0.8206523159381215,0.0004065547158299234,0.7513021424583083,4.367231740884625,5.812883384832054,0.10430885947181279,0.1388374311438905,16,2020-10-06,acetate,1,37.0,none,noInd,0,201006150456.tif,wildtype
2.0548970096909214,0.7709397989642852,0.00015715969701017303,0.8392676266535181,4.9769170117095225,5.930071473809135,0.11893985754074121,0.1417186291517046,17,2020-10-06,acetate,1,37.0,none,noInd,0,201006150456.tif,wildtype
1.4975625189218957,0.7178069222623233,0.0012021146763529413,0.5091985219841099,3.3770887718581912,6.632165306959743,0.08014280141752217,0.15739009042139976,18,2020-10-06,acetate,1,37.0,none,noInd,0,201006150456.tif,wildtype
1.9024246870895107,0.6076460167017947,0.000195591503468934,0.4929563190579834,3.6316835679983557,7.367150856161726,0.08592902674502023,0.17431367328696912,19,2020-10-06,acetate,1,37.0,none,noInd,0,201006150456.tif,wildtype
2.040377828548866,0.783820440369849,0.0013418677451550478,0.858468713390947,5.024317237732998,5.8526503754423045,0.12012808045657719,0.13993297435624868,20,2020-10-06,acetate,1,37.0,none,noInd,0,201006150456.tif,wildtype
2.275330410573797,0.773552320407414,0.0006284197461209516,0.9481530092747071,5.529476762077846,5.8318401228380194,0.13231590165557883,0.1395512120525719,21,2020-10-06,acetate,1,37.0,none,noInd,0,201006150456.tif,wildtype
1.7668881205932316,0.7697019680144012,1.7420290500115885e-05,0.7027555404820198,4.2724945806321335,6.079631300667699,0.10189723137054152,0.14499669586475297,22,2020-10-06,acetate,1,37.0,none,noInd,0,201006150456.tif,wildtype
1.878204925373377,0.7305383322837063,0.002684756110759224,0.6851913561886265,4.310581459845282,6.291062227963397,0.10270773093473351,0.14989641945579224,23,2020-10-06,acetate,1,37.0,none,noInd,0,201006150456.tif,wildtype
2.0267647667379034,0.7174954589734986,0.0013758878790164695,0.7227672191227561,4.5684868100586815,6.32082735518026,0.10888927774552082,0.15065608243506526,24,2020-10-06,acetate,1,37.0,none,noInd,0,201006150456.tif,wildtype
