date,strain,overexpression,inducer_conc_ng_mL,carbon_source,od_600nm,od_595nm,dilution_factor,culture_volume_mL,extraction_volume_mL,temperature_C,prot_ug_per_biomass,tot_prot_ug_per_biomass,mass_frac
2021-08-10,wildtype,lacZ,10,glucose,0.15054,0.617,2,1,0.4,37,2.3485286697898595,353.8922882931812,0.006636281002665497
2021-08-10,wildtype,lacZ,10,glucose,0.117,0.63,2,1,0.4,37,5.022681841625944,353.8922882931812,0.014192685197663635
2021-09-29,wildtype,lacZ,10,glucose,0.09204,0.61,2,1,0.4,37,2.4716458485538566,353.8922882931812,0.006984175497224251
2022-03-10,wildtype,lacZ,10,glucose,0.38142,0.88,2,1,0.4,37,13.344075874592217,353.8922882931812,0.03770660259072204
2021-08-10,wildtype,lacZ,20,glucose,0.1872,0.628,2,1,0.4,37,2.946781123468492,360.2730462806915,0.008179299433831728
2021-08-10,wildtype,lacZ,20,glucose,0.1404,0.615,2,1,0.4,37,2.2616179258777183,360.2730462806915,0.006277510763643623
2021-09-29,wildtype,lacZ,20,glucose,0.11076,0.624,2,1,0.4,37,4.330125749362892,360.2730462806915,0.012019011119664106
2022-03-10,wildtype,lacZ,20,glucose,0.2418,0.762,2,1,0.4,37,12.26109520193494,360.2730462806915,0.034032785212530794
2021-08-10,wildtype,lacZ,50,glucose,0.06396,0.613,2,1,0.4,37,4.401419756665068,,
2021-08-10,wildtype,lacZ,100,glucose,0.05694,0.606,2,1,0.4,37,2.7301999576225726,,
2020-09-23,wildtype,none,0,glucose,0.38142,0.841,2,1,0.4,37,11.502749230577196,346.5766666198025,0.03318962393736624
2020-09-29,wildtype,none,0,glucose,0.42978,0.824,2,1,0.4,37,9.496113461987099,346.5766666198025,0.02739974838642099
2020-09-18,wildtype,none,0,glucose,0.44772,0.787,2,1,0.4,37,7.627394765231711,346.5766666198025,0.022007813854355712
2020-10-06,wildtype,none,0,glucose,0.40014,0.8,4,1,0.4,37,18.23883367726102,346.5766666198025,0.05262568266682873
