date,strain,carbon_source,overexpression,inducer,inducer_conc,technical_rep,n_events,gated,cells_per_biomass
2022-11-17,lpp21,LB,none,none,0,1,1423,False,264357749.46921444
2022-11-17,wildtype,LB,none,none,0,6,3970,False,326173.70892018784
2022-11-17,wildtype,glucose,none,none,0,1,9747,False,882880434.7826087
2022-11-17,wildtype,glucoseCAA,none,none,0,3,11164,False,771603475.5134281
2022-11-17,lpp14,LB,none,none,0,1,978,False,156730769.23076922
2022-11-17,wildtype,glucoseCAA,none,none,0,2,11101,False,767249210.1105845
2022-11-17,wildtype,sorbitol,none,none,0,1,11064,False,951917404.1297935
2022-11-17,wildtype,glycerol,none,none,0,1,10173,False,1186850000.0
2022-11-17,lpp14,LB,none,none,0,3,937,False,150160256.41025642
2022-11-17,lpp21,LB,none,none,0,2,1435,False,266587048.83227175
2022-11-17,wildtype,glucose,none,none,0,2,9541,False,864221014.4927536
2022-11-17,wildtype,glycerol,none,none,0,3,10298,False,1201433333.3333333
2022-11-17,wildtype,LB,none,none,0,5,4186,False,343920.18779342726
2022-11-17,wildtype,sorbitol,none,none,0,3,12999,False,1118399705.0147493
2022-11-17,lpp21,LB,none,none,0,3,1497,False,278105095.54140127
2022-11-17,wildtype,glucose,none,none,0,3,9463,False,857155797.1014493
2022-11-17,wildtype,sorbitol,none,none,0,2,12913,False,1111000491.6420846
2022-11-17,wildtype,LB,none,none,0,4,4012,False,329624.41314553993
2022-11-17,wildtype,glycerol,none,none,0,2,10480,False,1222666666.6666665
2022-11-17,wildtype,glucoseCAA,none,none,0,1,11308,False,781556082.1484991
2022-11-17,lpp14,LB,none,none,0,2,928,False,148717948.7179487
2022-11-17,wildtype,glucoseCAA,none,none,0,4,9541,False,659429304.8973143
2022-11-17,wildtype,glucose,none,none,0,6,9657,False,874728260.8695652
2022-11-17,wildtype,LB,none,none,0,1,4236,False,348028.16901408456
2022-11-17,lpp21,LB,none,none,0,6,1431,False,265843949.044586
2022-11-17,wildtype,glycerol,none,none,0,6,10094,False,1177633333.3333333
2022-11-17,wildtype,sorbitol,none,none,0,6,12893,False,1109279744.346116
2022-11-17,lpp14,LB,none,none,0,6,939,False,150480769.23076922
2022-11-17,wildtype,glucoseCAA,none,none,0,5,10360,False,716034755.1342812
2022-11-17,wildtype,sorbitol,none,none,0,4,12723,False,1094653392.3303835
2022-11-17,wildtype,glycerol,none,none,0,4,9416,False,1098533333.3333333
2022-11-17,wildtype,LB,none,none,0,2,4128,False,339154.9295774648
2022-11-17,wildtype,glucose,none,none,0,5,9445,False,855525362.3188406
2022-11-17,lpp21,LB,none,none,0,5,1478,False,274575371.54989386
2022-11-17,lpp14,LB,none,none,0,4,759,False,121634615.38461538
2022-11-17,wildtype,glucoseCAA,none,none,0,6,10662,False,736907582.9383886
2022-11-17,lpp14,LB,none,none,0,5,901,False,144391025.64102563
2022-11-17,wildtype,LB,none,none,0,3,4239,False,348274.647887324
2022-11-17,wildtype,glycerol,none,none,0,5,9960,False,1162000000.0
2022-11-17,wildtype,sorbitol,none,none,0,5,12807,False,1101880530.9734514
2022-11-17,wildtype,glucose,none,none,0,4,9371,False,848822463.768116
2022-11-17,lpp21,LB,none,none,0,4,1483,False,275504246.2845011
2022-12-15,lpp21,LB,none,none,0,1,1459,False,226351950.35460994
2022-12-15,wildtype,glucoseCAA,none,none,0,3,12849,False,857580091.5331808
2022-12-15,lpp14,LB,none,none,0,1,2968,False,376376811.5942029
2022-12-15,wildtype,glucoseCAA,none,none,0,2,12641,False,843697559.1151793
2022-12-15,wildtype,sorbitol,none,none,0,1,14975,False,1804838154.2699723
2022-12-15,wildtype,glycerol,none,none,0,1,13007,False,1487728758.1699347
2022-12-15,lpp14,LB,none,none,0,3,2837,False,359764492.7536232
2022-12-15,lpp21,LB,none,none,0,2,2036,False,315868794.32624114
2022-12-15,wildtype,glycerol,none,none,0,3,12847,False,1469428104.5751634
2022-12-15,wildtype,sorbitol,none,none,0,3,14015,False,1689135674.9311295
2022-12-15,lpp21,LB,none,none,0,3,2082,False,323005319.1489362
2022-12-15,lpp14,glucose,none,none,0,4,5424,False,431062670.2997275
2022-12-15,wildtype,sorbitol,none,none,0,2,14242,False,1716494490.3581266
2022-12-15,wildtype,LB,none,none,0,4,5975,False,714224726.7759563
2022-12-15,wildtype,glycerol,none,none,0,2,12606,False,1441862745.0980392
2022-12-15,wildtype,glucoseCAA,none,none,0,1,11389,False,760135392.8299009
2022-12-15,lpp14,LB,none,none,0,2,2930,False,371557971.01449275
2022-12-15,wildtype,glucoseCAA,none,none,0,4,12501,False,834353546.9107552
2022-12-15,lpp14,glucose,none,none,0,1,5781,False,459434604.90463215
2022-12-15,wildtype,LB,none,none,0,1,5531,False,661150956.284153
2022-12-15,lpp21,glucose,none,none,0,1,2343,False,346890862.9441624
2022-12-15,wildtype,sorbitol,none,none,0,4,12765,False,1538481404.9586775
2022-12-15,wildtype,glycerol,none,none,0,4,11233,False,1284820261.4379086
2022-12-15,wildtype,LB,none,none,0,2,5598,False,669159836.0655738
2022-12-15,lpp14,glucose,none,none,0,2,5707,False,453553587.6475931
2022-12-15,lpp14,LB,none,none,0,4,2223,False,281902173.9130435
2022-12-15,lpp21,glucose,none,none,0,3,2272,False,336379018.6125212
2022-12-15,lpp21,glucose,none,none,0,2,2454,False,363324873.0964467
2022-12-15,wildtype,LB,none,none,0,3,5698,False,681113387.9781421
2022-12-15,lpp14,glucose,none,none,0,3,5556,False,441553133.51498634
2022-12-15,lpp21,LB,none,none,0,4,2038,False,316179078.0141844
2022-12-02,wildtype,sorbitol,none,none,0,1,176837,False,1530488377.8437192
2022-12-02,wildtype,glucose,none,none,0,1,101211,False,1000673728.8135593
2022-12-02,wildtype,glucoseCAA,none,none,0,6,106982,False,876491104.8689139
2022-12-02,wildtype,glycerol,none,none,0,2,96397,False,2285836720.8672085
2022-12-02,wildtype,glycerol,none,none,0,3,97265,False,2306419376.693767
2022-12-02,wildtype,LB,none,none,0,3,37709,False,450756489.07103825
2022-12-02,wildtype,LB,none,none,0,2,40796,False,487657103.8251366
2022-12-02,wildtype,glucoseCAA,none,none,0,1,94875,False,777299859.5505619
2022-12-02,wildtype,glycerol,none,none,0,4,94592,False,2243035230.3523035
2022-12-02,wildtype,glucoseCAA,none,none,0,4,101247,False,829504915.7303371
2022-12-02,wildtype,glucoseCAA,none,none,0,5,106627,False,873582631.0861424
2022-12-02,wildtype,glycerol,none,none,0,1,96458,False,2287283197.8319783
2022-12-02,wildtype,sorbitol,none,none,0,3,178360,False,1543669634.0257173
2022-12-02,wildtype,sorbitol,none,none,0,2,176900,False,1531033630.0692387
2022-12-02,wildtype,glucose,none,none,0,2,95388,False,943101694.9152541
2022-12-02,wildtype,glucose,none,none,0,3,94202,False,931375706.2146893
2022-12-02,wildtype,sorbitol,none,none,0,4,181753,False,1573035361.0286846
2022-12-02,wildtype,glucoseCAA,none,none,0,3,100673,False,824802200.3745319
2022-12-02,wildtype,glucoseCAA,none,none,0,2,98898,False,810259831.4606743
2022-12-02,wildtype,LB,none,none,0,1,37945,False,453577527.3224044
