strain,carbon_source,overexpression,inducer_conc,biological_replicate,ug_prot_per_biomass
lacZOE,glucose,lacZ,10,1,23.590880391277278
lacZOE,glucose,lacZ,10,2,26.576649429097987
lacZOE,glucose,lacZ,10,3,21.09640053333657
lacZOE,glucose,lacZ,20,1,23.73279160854237
lacZOE,glucose,lacZ,20,2,32.78839271893511
lacZOE,glucose,lacZ,20,3,17.404942526923463
meshIOE,glucose,meshI,0,1,21.667650813041952
meshIOE,glucose,meshI,100,1,19.02291356482095
meshIOE,glucose,meshI,100,2,21.832931346830815
meshIOE,glucose,meshI,100,3,18.286520120431963
meshIOE,glucose,meshI,100,4,27.458508854301094
relAOE,glucose,relA,0,1,29.133795879707773
relAOE,glucose,relA,1,1,21.353654830739828
relAOE,glucose,relA,1,2,46.95219091477021
relAOE,glucose,relA,1,3,43.36125753564208
wildtype,LB,none,0,4,24.125688263976407
wildtype,LB,none,0,5,33.31394166454773
wildtype,LB,none,0,6,20.650854901537855
wildtype,LB,none,0,7,21.458804697591862
wildtype,acetate,none,0,4,19.397105009318043
wildtype,acetate,none,0,5,32.95912795910737
wildtype,acetate,none,0,6,26.246738815848634
wildtype,acetate,none,0,7,25.773976438836364
wildtype,glucose,none,0,4,33.46121518359004
wildtype,glucose,none,0,5,8.95239434339297
wildtype,glucose,none,0,6,7.387822516006573
wildtype,glucose,none,0,7,16.866936316933522
wildtype,glucoseCAA,none,0,4,18.395209413620695
wildtype,glucoseCAA,none,0,5,25.810176313145
wildtype,glucoseCAA,none,0,6,22.969371671019303
wildtype,glucoseCAA,none,0,7,7.230359037041185
wildtype,glycerol,none,0,4,15.082685900719678
wildtype,glycerol,none,0,5,23.35091663866408
wildtype,glycerol,none,0,6,20.11181832923832
wildtype,glycerol,none,0,7,33.451741898725246
wildtype,sorbitol,none,0,4,15.131031326764955
wildtype,sorbitol,none,0,5,13.291943859566944
wildtype,sorbitol,none,0,6,36.160737824486716
wildtype,sorbitol,none,0,7,24.156363409713848
