strain,overexpression,carbon_source,temperature,inducer_conc,replicate,ug_rna_per_biomass,ug_prot_per_biomass,phiRb
wildtype,meshI,glucose,37,0,1,80.49666666666670,312.614996902809,0.11736602859802500
wildtype,meshI,glucose,37,0,2,75.94642032332560,302.398968529546,0.11447254119846500
wildtype,meshI,glucose,37,0,3,81.5663747810857,318.00387550408300,0.11691037905209900
wildtype,meshI,glucose,37,100,1,124.18235294117600,461.54904344282100,0.12263554063155700
wildtype,meshI,glucose,37,100,2,81.92658907788730,289.18674740043400,0.12912811405563400
wildtype,meshI,glucose,37,100,3,79.55527559055130,258.9461160616110,0.14003413206454700
wildtype,none,LB,37,0,1,155.2737978410210,271.0693308160270,0.26109112691900600
wildtype,none,LB,37,0,2,165.7614115841960,252.69884300721300,0.2989885133661660
wildtype,none,LB,37,0,3,156.54795553043200,239.78722329151600,0.2975744793709170
wildtype,none,acetate,37,0,1,63.32605848974250,294.1385092052220,0.09813069882490640
wildtype,none,acetate,37,0,2,61.43646408839780,289.58145219397800,0.0967007386672467
wildtype,none,acetate,37,0,3,58.096296296296300,309.69085300950200,0.08550556658203710
wildtype,none,glucose,37,0,1,81.71122994652410,293.6857562408220,0.12681574716577500
wildtype,none,glucose,37,0,2,89.97445068983140,298.8231164083000,0.13723956539021600
wildtype,none,glucose,37,0,3,74.99934683213590,251.9294875809900,0.1356915485135420
wildtype,none,glucoseCAA,37,0,1,105.85833591091900,265.4267371928570,0.18178360634836300
wildtype,none,glucoseCAA,37,0,2,107.47461793309800,322.6007631293980,0.1518500154144310
wildtype,none,glucoseCAA,37,0,3,111.12796741115300,341.301474089391,0.14840875704139900
wildtype,none,glycerol,37,0,1,74.4497084548105,267.1396151572360,0.12702787302336000
wildtype,none,glycerol,37,0,2,86.11809214970950,287.92431534877400,0.13632966828206000
wildtype,none,glycerol,37,0,3,67.30015606034330,271.3003126922650,0.1130681009096350
wildtype,none,sorbitol,37,0,1,58.4755313890262,317.16063811721500,0.08403674354214100
wildtype,none,sorbitol,37,0,2,57.13216290883170,275.55515598309800,0.09450318489211190
wildtype,none,sorbitol,37,0,3,73.65783306291690,301.80116034966700,0.11124291328495800
wildtype,relA,glucose,37,0,1,78.22716049382720,261.56013066019400,0.13632023987405400
wildtype,relA,glucose,37,0,2,73.86031088082890,316.4876535770270,0.10637233180816100
wildtype,relA,glucose,37,0,3,88.8117994100295,350.4213793992720,0.11551925924293500
wildtype,relA,glucose,37,1,1,73.22112676056330,309.36228688866600,0.1078806014563610
wildtype,relA,glucose,37,1,2,82.23157894736840,307.24432406599800,0.12199136240563800
wildtype,relA,glucose,37,1,3,72.85495207667740,280.1747892466930,0.11852346617564800
wildtype,relA,glucose,37,2,1,70.06601941747570,270.6319255461500,0.11800563287585800
wildtype,relA,glucose,37,2,2,67.31428571428570,289.13847459292200,0.10611473091489600
wildtype,relA,glucose,37,2,3,68.60259740259750,334.05105343648300,0.09360564373148880
wildtype,relA,glucose,37,10,1,61.31779935275080,258.38958689964700,0.10816478047870600
wildtype,relA,glucose,37,10,2,78.52128279883380,282.3050099894050,0.12677777380235600
wildtype,relA,glucose,37,10,3,80.21899441340780,291.41660770501500,0.12546923094596900
wildtype,none,glycerol,25,0,1,43.58755859,262.2326884,0.0757617569592136
wildtype,none,glycerol,25,0,2,46.4298154,262.4669995,0.0806300
none,none,glycerol,25,0,3,44.25512319,254.9374249,0.0791232795966082
none,none,glycerol,30,0,1,41.83605465,293.0758865,0.065064628609321
none,none,glycerol,30,0,2,39.96930161,270.8072156,0.0672729773225363
none,none,glycerol,30,0,3,45.33247494,254.8898191,0.081064603327862
none,none,glycerol,42,0,1,38.25431034,274.0627741,0.0636216089917044
none,none,glycerol,42,0,2,37.56447396,261.6590947,0.0654358574870052
none,none,glycerol,42,0,3,41.41762183,254.4498433,0.0741920363765223
none,none,glucoseCAA,25,0,1,79.96801558,254.5176167,0.143209817748399
none,none,glucoseCAA,25,0,2,77.90642239,269.7396578,0.131644518329192
none,none,glucoseCAA,25,0,3,77.05189677,275.4216072,0.127514521844552
none,none,glucoseCAA,30,0,1,76.00197616,265.3003954,0.130575382978596
none,none,glucoseCAA,30,0,2,70.77396373,234.4761588,0.137578049867533
none,none,glucoseCAA,30,0,3,73.62474471,263.1551029,0.12752235570963
none,none,glucoseCAA,42,0,1,66.68785547,267.6354042,0.113573630566871
none,none,glucoseCAA,42,0,2,67.81118786,283.4633483,0.1090382217382
none,none,glucoseCAA,42,0,3,66.7506699,267.9134003,0.1135626
