date,run_no,carbon_source,strain,overexpression,inducer,inducer_conc,temperature_C,width_median,length,volume,surface_area,surface_to_volume,aspect_ratio,periplasm_volume,periplasm_volume_fraction,delta
2020-07-27,1,glucoseCAA,wildtype,none,none,0.0,37.0,0.8014022369048325,2.829197953992007,1.2969809981298106,7.120375453676601,5.568965849183524,3.553565043874962,0.1751612361604444,0.13699655988991472,0.0246
2020-07-28,1,glucose,wildtype,none,none,0.0,37.0,0.7116228950330461,2.4293206474765663,0.8734112685883363,5.427857775942324,6.283915210931514,3.4312194876671676,0.1335253012881812,0.15458431418891525,0.0246
2020-07-28,1,glucoseCAA,wildtype,none,none,0.0,37.0,0.8040109055466207,2.654468237388735,1.2167185483057015,6.7070786267527795,5.598855278501202,3.3178689591569075,0.16499413421811837,0.13773183985112958,0.0246
2020-07-28,1,glycerol,wildtype,none,none,0.0,37.0,0.6715109139639881,2.166787606735362,0.6976909590485055,4.57045359816807,6.749016544962333,3.2695412144943585,0.11243315851493452,0.1660258070060734,0.0246
2020-07-31,1,LB,wildtype,none,none,0.0,37.0,0.9606232874256162,4.096012166880584,2.939091200524458,12.75222714783292,4.734985196095736,4.175171891140889,0.31370478783668987,0.11648063582395513,0.0246
2020-07-31,1,acetate,wildtype,none,none,0.0,37.0,0.7203206843385037,1.9309641537064184,0.6849254078226357,4.34369833340178,6.459362653682853,2.7278336379292543,0.1068549790016838,0.1589003212805982,0.0246
2020-08-27,1,glucose,wildtype,lacZ,atc,0.0,37.0,0.7901328049415671,2.3534267588013718,1.0190947451719776,5.817239556798643,5.757134600255378,3.006970065566045,0.14310409309724662,0.14162551116628228,0.0246
2020-08-27,1,glucose,wildtype,lacZ,atc,6.0,37.0,0.8198267095552937,2.5295064702350296,1.2184022433797141,6.563159501907502,5.573408428245511,3.089425609512612,0.16145372374692454,0.13710584733483958,0.0246
2020-08-27,1,glucose,wildtype,lamB,atc,0.0,37.0,0.7529902875402785,2.5465320314710653,1.0185076533499167,6.001733732726773,5.952648432617904,3.4147541639097616,0.14764264982507863,0.14643515144240044,0.0246
2020-08-27,1,glucose,wildtype,lamB,atc,1.0,37.0,0.7483331402993426,2.393706778031475,0.9411537022878531,5.611776581883074,6.019374712426832,3.2253113121853563,0.1380497039143236,0.1480766179257001,0.0246
