,strain,overexpression,carbon_source,inducer_conc,replicate,ug_rna_per_biomass,ug_prot_per_biomass,phiRb
21,wildtype,meshI,glucose,0,1,80.49666666666667,312.614996902809,0.11736602859802528
22,wildtype,meshI,glucose,0,2,75.94642032332564,302.398968529546,0.11447254119846517
23,wildtype,meshI,glucose,0,3,81.5663747810857,318.00387550408306,0.11691037905209904
24,wildtype,meshI,glucose,100,1,124.18235294117646,461.54904344282073,0.12263554063155682
25,wildtype,meshI,glucose,100,2,81.92658907788733,289.18674740043406,0.12912811405563393
26,wildtype,meshI,glucose,100,3,79.55527559055129,258.9461160616112,0.14003413206454737
15,wildtype,none,LB,0,1,155.2737978410206,271.0693308160268,0.26109112691900566
16,wildtype,none,LB,0,2,165.7614115841964,252.69884300721307,0.2989885133661656
17,wildtype,none,LB,0,3,156.54795553043152,239.78722329151603,0.2975744793709169
12,wildtype,none,acetate,0,1,63.32605848974247,294.1385092052223,0.09813069882490635
13,wildtype,none,acetate,0,2,61.43646408839778,289.58145219397846,0.0967007386672467
14,wildtype,none,acetate,0,3,58.096296296296295,309.69085300950206,0.08550556658203712
3,wildtype,none,glucose,0,1,81.71122994652407,293.6857562408223,0.12681574716577543
4,wildtype,none,glucose,0,2,89.97445068983137,298.8231164083003,0.13723956539021628
5,wildtype,none,glucose,0,3,74.99934683213587,251.9294875809898,0.1356915485135415
6,wildtype,none,glucoseCAA,0,1,105.85833591091864,265.4267371928566,0.18178360634836327
7,wildtype,none,glucoseCAA,0,2,107.47461793309824,322.6007631293975,0.1518500154144309
8,wildtype,none,glucoseCAA,0,3,111.12796741115324,341.301474089391,0.14840875704139864
0,wildtype,none,glycerol,0,1,74.4497084548105,267.1396151572363,0.12702787302335986
1,wildtype,none,glycerol,0,2,86.11809214970951,287.92431534877403,0.13632966828205997
2,wildtype,none,glycerol,0,3,67.30015606034333,271.3003126922649,0.1130681009096348
9,wildtype,none,sorbitol,0,1,58.4755313890262,317.16063811721455,0.08403674354214098
10,wildtype,none,sorbitol,0,2,57.13216290883165,275.55515598309813,0.09450318489211193
11,wildtype,none,sorbitol,0,3,73.65783306291691,301.80116034966665,0.11124291328495751
20,wildtype,relA,glucose,0,1,78.22716049382716,261.56013066019364,0.13632023987405367
19,wildtype,relA,glucose,0,2,73.86031088082889,316.4876535770267,0.10637233180816102
18,wildtype,relA,glucose,0,3,88.8117994100295,350.4213793992721,0.11551925924293513
27,wildtype,relA,glucose,1,1,73.22112676056328,309.36228688866623,0.1078806014563614
28,wildtype,relA,glucose,1,2,82.23157894736842,307.24432406599806,0.12199136240563824
29,wildtype,relA,glucose,1,3,72.85495207667742,280.1747892466925,0.11852346617564764
30,wildtype,relA,glucose,2,1,70.06601941747572,270.6319255461499,0.11800563287585775
31,wildtype,relA,glucose,2,2,67.31428571428572,289.13847459292174,0.10611473091489615
32,wildtype,relA,glucose,2,3,68.60259740259751,334.05105343648296,0.09360564373148877
33,wildtype,relA,glucose,10,1,61.31779935275082,258.38958689964744,0.10816478047870572
34,wildtype,relA,glucose,10,2,78.52128279883382,282.3050099894045,0.12677777380235558
35,wildtype,relA,glucose,10,3,80.21899441340781,291.41660770501454,0.12546923094596887
