length,width_median,width_var,volume,surface_area,surface_to_volume,periplasm_volume,periplasm_fractional_volume,cell_id,carbon_source,image,strain
2.421639547457399,1.0298256642554922,4.716177710854226e-05,1.7311670686013523,7.83471284994189,4.5256826981301845,0.18915633499972317,0.10926521098425625,0,acetate,201111160950,WT
1.9490914980286183,0.8483856255851725,5.987422981570998e-05,0.9419518679474332,5.194878581066062,5.515014893898982,0.12444458088601973,0.13211352418376912,1,acetate,201111160950,WT
2.39123576239975,0.8976038126923086,9.245813985340777e-05,1.3238174428818634,6.743058982896006,5.093647178584391,0.16218430301438436,0.12251258954657661,2,acetate,201111160950,WT
2.533584327527287,0.8935524587657988,5.000069685713728e-05,1.4020064950458582,7.112221780147098,5.072887896938355,0.1711418270064613,0.12206921124203739,0,acetate,201111161018,WT
2.648787065971721,0.9905507436751361,0.00016904549115314348,1.786774814972961,8.242778851425381,4.61321638426503,0.19898909805338527,0.11136775400340336,1,acetate,201111161018,WT
1.393079885913377,0.842852365530397,5.9520455025249995e-05,0.6205090287098937,3.688734557672363,5.944691192232363,0.08789357107934626,0.14164752970973948,2,acetate,201111161018,WT
2.0267300858065154,0.8499893091114213,1.608532006803557e-05,0.9892679255402542,5.4120182255204385,5.470730512732285,0.12971748016151485,0.13112472042462528,3,acetate,201111161018,WT
1.870834753898398,0.9622348507534191,1.3304611727506146e-05,1.1272205706860565,5.655439803595411,5.017154539819442,0.1358887257761583,0.12055202797927364,4,acetate,201111161018,WT
1.5931976200963958,0.9049536277651897,4.570521562057788e-05,0.830715949691569,4.529453933518824,5.452470167691537,0.1083966896800217,0.1304858654998349,5,acetate,201111161018,WT
1.844359390599317,1.0562664721314077,0.00030961055066703794,1.307628699583073,6.120246562891638,4.680416210536698,0.14737624835601082,0.11270496617503162,6,acetate,201111161018,WT
2.357028364009645,0.8512860608749377,4.384692051134927e-05,1.1800380832269437,6.303622596910869,5.3418806447948874,0.15135650412745671,0.12826408425188765,7,acetate,201111161018,WT
2.026041497922032,0.9431462326736408,3.704776604710494e-05,1.1958186011448553,6.003123022394304,5.020095035022052,0.14431353893082743,0.12068179805253426,9,acetate,201111161018,WT
2.8568151735435285,0.7882836993611642,0.00020941139049395708,1.2660007878243615,7.074806442209323,5.58831124771057,0.1697784760017289,0.13410613771694044,10,acetate,201111161018,WT
2.278430232500533,1.0639426478522949,0.00019688992157326259,1.7103395092471863,7.61559473874984,4.45268012437009,0.1838925845116488,0.10751817607990005,11,acetate,201111161018,WT
1.8832968924289029,0.837119088122604,9.798740315974842e-05,0.8829545873996629,4.952858348684551,5.609414594323497,0.11854538427705807,0.13425988829864857,13,acetate,201111161018,WT
2.7548873321376917,0.7415740186848754,8.158717708915544e-05,1.0831130257120076,6.418125727762698,5.9256287897965265,0.15365330723270165,0.14186267137881972,14,acetate,201111161018,WT
2.2125055151583664,1.0408702906818743,0.00010353671197024995,1.5874121849489868,7.2348719240483685,4.557651750846847,0.17454925949128786,0.10995837196304323,15,acetate,201111161018,WT
2.2992961187594396,1.0621056331936929,0.0004717911154879523,1.7234677655383785,7.672068842702361,4.451530220703462,0.18526707400844677,0.10749668645561983,0,acetate,201111161040,WT
1.8642560459773454,0.8502691208473157,0.0003498554926314927,0.8976120837075302,4.979799302658823,5.547830062726067,0.11923047471211956,0.13283073710376714,1,acetate,201111161040,WT
1.8029971360801502,1.008742777086436,1.5066661105062639e-05,1.1722135015238144,5.713804116904611,4.874371528289832,0.13738971436018454,0.11720536760716825,2,acetate,201111161040,WT
2.846627797048632,1.1484561137668063,0.0007523416957035847,2.552264871722698,10.270579831288684,4.024104216251022,0.24898561671373454,0.09755477163531115,4,acetate,201111161040,WT
1.6964981934948005,0.8695664546662796,6.82370344176272e-05,0.8353706947378103,4.634533778235331,5.547876897560941,0.1108903381482711,0.1327438690952346,5,acetate,201111161040,WT
2.5514568564081554,0.6734245683866797,0.0001102544552287147,0.8288211377155676,5.39792763864019,6.512777477560706,0.12868160094243364,0.1552585896845143,7,acetate,201111161040,WT
1.7358093308260756,0.775754698478226,1.464221564918411e-05,0.6982085976083262,4.230350053510982,6.058862735294015,0.10089275674504772,0.14450231218958076,8,acetate,201111161040,WT
3.5663136464459972,1.663110914261663,0.0028916165178137824,6.543032939443755,18.633336275518673,2.8478133073716045,0.4556309056209038,0.06963604032530493,9,acetate,201111161040,WT
1.9167300181007334,0.8674706866844243,5.3733050220714443e-05,0.9619223311648679,5.223548426109684,5.430322445871566,0.12518739519952182,0.13014293477096273,0,acetate,201111161059,WT
2.1969868610583,0.9522852669584289,0.000438014815309627,1.3386894635921407,6.572708892488063,4.90980848900636,0.15819959079569368,0.11817497268649038,1,acetate,201111161059,WT
2.10245550712166,1.0466057868466017,8.420239855033475e-05,1.5086324329931617,6.912892737081093,4.58222465983033,0.1667046008822053,0.11050047528904008,2,acetate,201111161059,WT
2.708447238519896,1.6066962469129646,0.0009579169775075635,4.405483171982059,13.67111799530812,3.1032051336056705,0.3333706353090147,0.07567175319819205,3,acetate,201111161059,WT
2.2683125595725233,1.1114386067756579,8.335314090868583e-06,1.8412757669748214,7.920238297240148,4.3014948870222405,0.1914352813809781,0.10396882683982876,4,acetate,201111161059,WT
1.7957068194341168,0.8607954762777227,0.0003777406056836,0.8780400199078177,4.856073826112469,5.530583704626916,0.11625126543947883,0.1323985955124046,5,acetate,201111161059,WT
2.5103315010846097,0.8238853265992856,0.00027387022137730506,1.1918937396150657,6.497521372771264,5.451426714322458,0.155956764734152,0.13084787640928444,6,acetate,201111161059,WT
