length,width_median,width_var,volume,surface_area,surface_to_volume,periplasm_volume,periplasm_fractional_volume,cell_id,carbon_source,image,strain,date
2.852516484230839,1.2043135112829266,0.0005228421421073473,2.792069634685427,10.792389090714355,3.8653724665897515,0.2619096100455782,0.09380482735527715,0,acetate,220330165135,lpp14,2022-03-30
1.7827209701261568,0.8556217483760182,0.00037936917747094403,0.8610419714636467,4.791980706641365,5.56532766747211,0.1146845936991725,0.13319280302239542,1,acetate,220330165135,lpp14,2022-03-30
2.301451451298491,1.0378924310992392,0.0003263787146875235,1.6544344794932244,7.504193697791285,4.535805914834367,0.1811135059112623,0.10947154943648164,2,acetate,220330165135,lpp14,2022-03-30
2.2960936906562273,0.9337482576060536,6.540096186675984e-05,1.3591767234081955,6.735491343528629,4.955567019010661,0.16211095359959238,0.11927143160095621,0,acetate,220330165145,lpp14,2022-03-30
2.0575467551503004,1.102711262990975,7.129722784002713e-06,1.613965047180753,7.127896680295783,4.416388504042683,0.17205771474606912,0.10660560155662395,1,acetate,220330165145,lpp14,2022-03-30
1.8237509644748824,1.0237876276863684,8.234443963937992e-05,1.220396477234763,5.865773431656445,4.806449003316869,0.14111865668714385,0.11563345135746192,2,acetate,220330165145,lpp14,2022-03-30
2.2785761176290773,1.093972496853177,7.852527878242748e-05,1.7989792581938713,7.831046765645936,4.353050058791731,0.18921963526864083,0.10518166588458194,3,acetate,220330165145,lpp14,2022-03-30
2.237727424342319,1.052293050856048,0.00021219329264122205,1.6410684182788675,7.39764965071115,4.507825248669227,0.1785467510178267,0.1087990902933129,4,acetate,220330165145,lpp14,2022-03-30
3.19007307825794,1.1092714496443816,0.00474806138451017,2.725607478233428,11.117018797045768,4.078730663100154,0.26954917653302557,0.09889508254054646,5,acetate,220330165145,lpp14,2022-03-30
2.7443724990054186,1.1492783563225182,5.546810045169033e-05,2.449558260928534,9.908733758185996,4.045110465929467,0.2401386282248854,0.09803344221494778,0,acetate,220330165154,lpp14,2022-03-30
2.7027710879522084,1.0166115605112842,0.0002897374064091938,1.9187976344084707,8.632054650798326,4.498679014402384,0.20856382536421902,0.10869506071103498,1,acetate,220330165154,lpp14,2022-03-30
2.129629667191345,0.905213684792201,0.0003034003974317546,1.1763663178479746,6.056267813083193,5.148283932646448,0.14551324418691225,0.12369722082243209,3,acetate,220330165154,lpp14,2022-03-30
1.7944156165596874,1.0200691109240818,9.280222407825782e-05,1.1885863130873497,5.75045897743637,4.83806595626999,0.138300696443169,0.11635730188069666,4,acetate,220330165154,lpp14,2022-03-30
2.8991688112078466,1.1726221344024357,0.003508537478311594,2.7088479518532544,10.68025112304739,3.942728168164814,0.2590767850970823,0.09564094762861655,5,acetate,220330165154,lpp14,2022-03-30
2.3805025739911714,1.3567983224552769,0.0013707969628879914,2.787922964205883,10.146910413981871,3.639594975993942,0.2464000370461652,0.08838122150780096,0,acetate,220330165200,lpp14,2022-03-30
2.3294038930532452,1.1577224387209744,9.54097479919376e-06,2.045891162875588,8.472256982538749,4.141108352328297,0.2050249178691428,0.10021301308177678,1,acetate,220330165200,lpp14,2022-03-30
2.8944500692116617,0.9869435873072263,0.0009874801408927213,1.9626429121726934,8.974458722717726,4.572639611136792,0.2168058192917619,0.11046625850636915,2,acetate,220330165200,lpp14,2022-03-30
3.0213755238174786,1.4154881088712772,0.0019018133313437027,4.0120395945003775,13.435715672145378,3.3488492213692966,0.32724658027968756,0.08156613925951044,3,acetate,220330165200,lpp14,2022-03-30
2.9146838810916753,0.9748258561867037,0.0029012426425579618,1.9328602259514287,8.926236140395018,4.618148803802499,0.21558431884638773,0.11153642459597345,4,acetate,220330165200,lpp14,2022-03-30
2.0387072157252604,1.0569311013730678,0.0001197127316883532,1.4795955575950526,6.769419224540088,4.575182177177634,0.16322265883847265,0.11031572648391576,0,acetate,220330165217,lpp14,2022-03-30
2.0320849308084385,1.1098571620573148,6.49431104981806e-05,1.6080135796548363,7.085309354998401,4.406249701273841,0.17102899484881529,0.10636041698449278,1,acetate,220330165217,lpp14,2022-03-30
3.17868988872539,1.1370661496411845,0.0014290321270262175,2.8429410299141193,11.354911768556939,3.994072212218891,0.2754642768953617,0.09689412266974916,2,acetate,220330165217,lpp14,2022-03-30
3.1531009616128887,0.8447421044671763,0.0003151901378664494,1.609348311474238,8.367811549442179,5.199503109290787,0.20141099207887803,0.12515065299591746,3,acetate,220330165217,lpp14,2022-03-30
2.3714431481704854,1.0964806348056464,0.0005725015929364313,1.89413893337477,8.168899557867036,4.312724591597187,0.19747868636874655,0.10425776213622333,4,acetate,220330165217,lpp14,2022-03-30
2.029803501109825,1.1991624517810502,0.0006795106381330731,1.8410075017549163,7.646838030092474,4.153615899339479,0.18489634077657846,0.10043214957045446,5,acetate,220330165217,lpp14,2022-03-30
2.7833241230715853,0.9168820110530118,0.0002293184730269169,1.6359308527158691,8.017281052655505,4.900745675983628,0.19323213840850384,0.118117546403451,6,acetate,220330165217,lpp14,2022-03-30
1.8555604150217548,1.026265292352428,0.0001712857550691779,1.2519401013949678,5.982526256505779,4.778604223828105,0.14397015471508667,0.11499763810957782,7,acetate,220330165217,lpp14,2022-03-30
2.1920621002817557,1.0576329061495837,0.0010419842147816026,1.6160834571759848,7.283459013405325,4.506858220139671,0.17577116395795045,0.10876366760482822,1,acetate,220330165224,lpp14,2022-03-30
1.7879241744838075,0.8789359553749768,8.138491532107516e-06,0.9070468302020385,4.936921253933602,5.442851559090876,0.1182521135752177,0.13037046119093745,2,acetate,220330165224,lpp14,2022-03-30
1.6644601241879833,0.8314333992549849,3.1858140143347426e-06,0.7532169804421003,4.34761155416624,5.772057278387977,0.10385506322773652,0.1378819993765659,3,acetate,220330165224,lpp14,2022-03-30
